accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR27860503	SRP487929	new	PRJNA1072118	SAMN39734290	AT2_1_521_3	AT2_1_521_3	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_1_521_3_R1.fastq.gz	AT2_1_521_3_R2.fastq.gz				
SRR27860502	SRP487929	new	PRJNA1072118	SAMN39734291	AT2_1_521_4	AT2_1_521_4	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_1_521_4_R1.fastq.gz	AT2_1_521_4_R2.fastq.gz				
SRR27860501	SRP487929	new	PRJNA1072118	SAMN39734292	AT2_1_521_5	AT2_1_521_5	RNAseq of arabidopsis Col-0: expressing CE Mlp52166	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_1_521_5_R1.fastq.gz	AT2_1_521_5_R2.fastq.gz				
SRR27860500	SRP487929	new	PRJNA1072118	SAMN39734293	AT2_14_729_1	AT2_14_729_1	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_14_729_1_R1.fastq.gz	AT2_14_729_1_R2.fastq.gz				
SRR27860499	SRP487929	new	PRJNA1072118	SAMN39734294	AT2_14_729_2	AT2_14_729_2	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_14_729_2_R1.fastq.gz	AT2_14_729_2_R2.fastq.gz				
SRR27860498	SRP487929	new	PRJNA1072118	SAMN39734295	AT2_14_729_3	AT2_14_729_3	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_14_729_3_R1.fastq.gz	AT2_14_729_3_R2.fastq.gz				
SRR27860497	SRP487929	new	PRJNA1072118	SAMN39734296	AT2_14_729_4	AT2_14_729_4	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_14_729_4_R1.fastq.gz	AT2_14_729_4_R2.fastq.gz				
SRR27860496	SRP487929	new	PRJNA1072118	SAMN39734297	AT2_14_729_5	AT2_14_729_5	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_14_729_5_R1.fastq.gz	AT2_14_729_5_R2.fastq.gz				
SRR27860495	SRP487929	new	PRJNA1072118	SAMN39734298	AT2_2_729_1	AT2_2_729_1	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_2_729_1_R1.fastq.gz	AT2_2_729_1_R2.fastq.gz				
SRR27860494	SRP487929	new	PRJNA1072118	SAMN39734299	AT2_2_729_2	AT2_2_729_2	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_2_729_2_R1.fastq.gz	AT2_2_729_2_R2.fastq.gz				
SRR27860492	SRP487929	new	PRJNA1072118	SAMN39734300	AT2_2_729_3	AT2_2_729_3	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_2_729_3_R1.fastq.gz	AT2_2_729_3_R2.fastq.gz				
SRR27860491	SRP487929	new	PRJNA1072118	SAMN39734301	AT2_2_729_4	AT2_2_729_4	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_2_729_4_R1.fastq.gz	AT2_2_729_4_R2.fastq.gz				
SRR27860490	SRP487929	new	PRJNA1072118	SAMN39734302	AT2_2_729_5	AT2_2_729_5	RNAseq of arabidopsis Col-0: expressing CE Mlp72983	RNA-Seq	TRANSCRIPTOMIC	cDNA_oligo_dT	paired	ILLUMINA	Illumina NovaSeq 6000	Transgenic arabidopsis Col-0 plants grown in soil in growth chamber for 14 and harvested 14 days post germination.	fastq	AT2_2_729_5_R1.fastq.gz	AT2_2_729_5_R2.fastq.gz				
